scenario,fold_id,holdout_day,phase_offset_hours,phase_anchor,training_stride_hours,block_width,training_rows,holdout_rows,training_model_seconds,holdout_model_seconds,holdout_model_reused,native_cell_dfs_seconds,native_cell_dfs_reused_across_widths,holdout_ceiling_evaluation_seconds,model_timing_scope,native_cell_dfs_timing_scope,holdout_all_leaf_compression_ceiling,holdout_full_weighted_trace,holdout_all_leaf_aggregation_weighted_trace,holdout_all_leaf_dfs,holdout_all_leaf_dfs_fraction,search_shape,ordinary_block_width,partial_final_row_height,partial_final_column_width,full_grid_dfs,all_search_leaves_dfs,unresolved_dfs,all_leaf_retained_fraction,top_native_cell_row,top_native_cell_column,top_native_cell_dfs,top_native_cell_fraction,top_ten_native_cell_fraction,block_dominant_cell_fraction,maximum_within_nonzero_block_cell_fraction,supported_native_cell_count,top_native_cell_latitude,top_native_cell_longitude
main_blocked_cv,fold_2019-01-02,2019-01-02,,,,8,190,48,0.3613011669367552,0.06139087490737438,False,0.1590733751654625,False,0.05555570777505636,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.20402518670073766,27.359177168121285,21.77721593841678,0.4237811758006993,0.10028518982139553,"(37, 49)",8,5,7,7.935231801082379,0.7961841684998606,7.1390476325825185,0.10033533845744239,180,279,0.5641801282667421,0.07109812824746808,0.37508533846616365,0.22883328124843713,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-02,2019-01-02,,,,4,190,48,0.31190958386287093,0.13421304197981954,False,0.1590733751654625,True,0.1332580423913896,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.5003737301705722,27.359177168121285,13.669363634110887,1.2392243633638187,0.2932547682808933,"(74, 98)",4,1,3,7.935231801082379,1.9841745676148528,5.951057233467527,0.2500462012142113,180,279,0.5641801282667421,0.07109812824746808,0.37508533846616365,0.3760071912121036,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-02,2019-01-02,,,,2,190,48,0.8562094587832689,0.44383120769634843,False,0.1590733751654625,True,0.5889125419780612,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.7094088785030523,27.359177168121285,7.950333976518049,2.404478911732528,0.569005038104954,"(147, 196)",2,1,1,7.935231801082379,4.038612221447898,3.896619579634481,0.508946975045773,180,279,0.5641801282667421,0.07109812824746808,0.37508533846616365,0.5659774375777217,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-03,2019-01-03,,,,8,189,48,0.23817329201847315,0.06514366623014212,False,0.14662741590291262,False,0.04800066677853465,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.15669212623782092,8.357241023631207,7.047727158156491,0.28441620799000566,0.10010089523376928,"(37, 49)",8,5,7,7.012682326221986,0.7329406174834284,6.279741708738558,0.10451644369270795,180,279,0.45848465197855587,0.06537935566597382,0.3849920254517365,0.2605684124407195,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-03,2019-01-03,,,,4,189,48,0.36703262524679303,0.12177970819175243,False,0.14662741590291262,True,0.12735008401796222,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3802512143107044,8.357241023631207,5.179389976108206,0.708759999286389,0.24944960393025947,"(74, 98)",4,1,3,7.012682326221986,1.7406667444337605,5.272015581788226,0.248216967981712,180,279,0.45848465197855587,0.06537935566597382,0.3849920254517365,0.4128646520845907,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-03,2019-01-03,,,,2,189,48,0.893851375207305,0.4418366248719394,False,0.14662741590291262,True,0.5875768340192735,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.605274614974354,8.357241023631207,3.2988151808049526,1.4065632980253489,0.49504297357149235,"(147, 196)",2,1,1,7.012682326221986,3.6889841491148663,3.32369817710712,0.5260446684317825,180,279,0.45848465197855587,0.06537935566597382,0.3849920254517365,0.5858773669042661,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-04,2019-01-04,,,,8,189,48,0.23297375021502376,0.07046591676771641,False,0.15241974964737892,False,0.04803229169920087,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.18336870444051423,13.909153013110116,11.358649645231239,0.4897989177965824,0.11927586661491171,"(37, 49)",8,5,7,9.157252018322199,0.9289853014671907,8.228266716855007,0.10144804354062109,182,250,0.42805744359778525,0.04674518542695021,0.3105417325461028,0.18557367621474558,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-04,2019-01-04,,,,4,189,48,0.2571599171496928,0.12238745763897896,False,0.15241974964737892,True,0.131782999727875,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,9.157252018322199,2.4024826775164767,6.754769340805722,0.2623584753056367,182,250,0.42805744359778525,0.04674518542695021,0.3105417325461028,0.34059638821165944,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-04,2019-01-04,,,,2,189,48,0.8727437499910593,0.4442520420998335,False,0.15241974964737892,True,0.6131846657954156,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.6113289851057824,13.909153013110116,5.406084617924474,2.2376363280392306,0.5449093546317966,"(147, 196)",2,1,1,9.157252018322199,4.931972024830861,4.225279993491338,0.5385864684037059,182,250,0.42805744359778525,0.04674518542695021,0.3105417325461028,0.5297502320298336,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-05,2019-01-05,,,,8,189,48,0.18522533401846886,0.06732791662216187,False,0.14838499994948506,False,0.0455300840549171,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.1175017925377817,10.91424908015144,9.63180524902981,0.30283923174100813,0.11259670892889345,"(37, 49)",8,5,7,9.62480339497042,0.9092028345352992,8.71560056043512,0.09446456173955887,182,250,0.3673267837555998,0.038164601257990545,0.2997857638366025,0.16143844763114187,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-05,2019-01-05,,,,4,189,48,0.3449301249347627,0.12199120782315731,False,0.14838499994948506,True,0.12542729126289487,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.2978160649433539,10.91424908015144,7.663810367289118,0.709294743157793,0.2637183210411561,"(74, 98)",4,1,3,9.62480339497042,2.337531745762084,7.287271649208337,0.242865402007442,182,250,0.3673267837555998,0.038164601257990545,0.2997857638366025,0.3275792224867134,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-05,2019-01-05,,,,2,189,48,0.9121441673487425,0.38461391581222415,False,0.14838499994948506,True,0.6034585000015795,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.5800661484533456,10.91424908015144,4.583262652967523,1.440726149206577,0.5356671324777098,"(147, 196)",2,1,1,9.62480339497042,5.0183832883537285,4.606420106616692,0.5214011219155039,182,250,0.3673267837555998,0.038164601257990545,0.2997857638366025,0.5175907980059105,1.0,110758,53.31700134277344,-9.899999618530273
main_blocked_cv,fold_2019-01-06,2019-01-06,,,,8,191,48,0.3344329157844186,0.0616909172385931,False,0.15194204216822982,False,0.04694129107519984,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.16061453379997237,6.111679317742635,5.130054793388469,0.23097161116780557,0.12473010125192423,"(37, 49)",8,5,7,10.682033150803324,0.9957125369045138,9.686320613898811,0.09321376584846425,180,279,0.44338070930291706,0.04150714597525597,0.3021201004636345,0.1678043537907591,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-06,2019-01-06,,,,4,191,48,0.32584066689014435,0.20670191710814834,False,0.15194204216822982,True,0.13065312476828694,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.34971852440354956,6.111679317742635,3.9743118451139887,0.5259267488365563,0.2840128113658958,"(74, 98)",4,1,3,10.682033150803324,2.6370753437967442,8.044957807006579,0.24687017036624975,180,279,0.44338070930291706,0.04150714597525597,0.3021201004636345,0.338827303640545,1.0,110758,52.8489990234375,0.30799999833106995
main_blocked_cv,fold_2019-01-06,2019-01-06,,,,2,191,48,0.7690367917530239,0.4559363331645727,False,0.15194204216822982,True,0.5992275420576334,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.5923482608979695,6.111679317742635,2.491436702711696,0.9955323336637494,0.537610869793127,"(147, 196)",2,1,1,10.682033150803324,5.583072372087492,5.098960778715832,0.5226600866397448,180,279,0.44338070930291706,0.04150714597525597,0.3021201004636345,0.530536019954798,1.0,110758,52.8489990234375,0.30799999833106995
thinning_robustness,fold_2019-01-04,2019-01-04,0,2019-01-01T00:00:00.000000000,6,4,31,48,0.13670750008895993,0.12238745763897896,True,0.02058533299714327,False,0.14557716716080904,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,3.3939141371500714,1.265248793234829,2.1286653439152423,0.37279929370790754,180,279,0.20630346458234966,0.060786294598361955,0.4076954088600897,0.36183612758021394,1.0,110758,52.8489990234375,0.30799999833106995
thinning_robustness,fold_2019-01-04,2019-01-04,1,2019-01-01T01:00:00.000000000,6,4,31,48,0.12399537535384297,0.12238745763897896,True,0.021164374891668558,False,0.1355730420909822,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,3.0373683090647488,1.1615053989102633,1.8758629101544855,0.3824051878871115,180,279,0.17715147073787582,0.058324000487258464,0.4217415602910436,0.35116759384359036,1.0,110758,52.8489990234375,0.30799999833106995
thinning_robustness,fold_2019-01-04,2019-01-04,2,2019-01-01T02:00:00.000000000,6,4,32,48,0.12060537468641996,0.12238745763897896,True,0.018725958187133074,False,0.13151095807552338,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,2.4165891789448306,0.8397625415704433,1.5768266373743873,0.34749909040688237,179,253,0.1719632349408715,0.07115948231463853,0.44340439130441606,0.398877917123065,1.0,110758,52.6150016784668,-8.843999862670898
thinning_robustness,fold_2019-01-04,2019-01-04,3,2019-01-01T03:00:00.000000000,6,4,32,48,0.10814620787277818,0.12238745763897896,True,0.018123624846339226,False,0.12828970793634653,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,3.277529983445932,1.1183027268892787,2.1592272565566537,0.3412028974677805,179,253,0.22475623387119106,0.06857488261171807,0.37440133195583525,0.33869751042911744,1.0,110758,52.6150016784668,-8.843999862670898
thinning_robustness,fold_2019-01-04,2019-01-04,4,2019-01-01T04:00:00.000000000,6,4,31,48,0.11571283312514424,0.12238745763897896,True,0.02043787483125925,False,0.13160891691222787,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,3.409548798681917,1.1992456617531233,2.2103031369287938,0.3517314848864268,180,279,0.2121361560975822,0.06221824898930645,0.4140241450135369,0.35689815913535955,1.0,110758,52.8489990234375,0.30799999833106995
thinning_robustness,fold_2019-01-04,2019-01-04,5,2019-01-01T05:00:00.000000000,6,4,32,48,0.10962150013074279,0.12238745763897896,True,0.019421500153839588,False,0.13211233401671052,one model construction for the selected rows and block width,one native-cell Cholesky solve field; reused across block widths for the same training mask,0.3709042615425603,13.909153013110116,8.75018888610003,1.1869475296676342,0.2890455451890824,"(74, 98)",4,1,3,3.3068739133806946,1.213588973166605,2.0932849402140894,0.3669897930659003,180,279,0.22590648561896376,0.06831421201300483,0.4017786374163275,0.3765764779677757,1.0,110758,52.8489990234375,0.30799999833106995
