iteration,temperature,accepted,new_best_utility,regions,dfs,best_dfs_seen,penalty,current_utility,best_utility,candidate_utility,move_type,merge_parent_id,split_node_id
0,0.027954041398283308,True,True,25,6.676050278901254,6.676050278901254,0.0,6.676050278901254,6.676050278901254,6.676050278901254,split,,2876
2,0.027954041398283308,True,False,25,6.665226534764528,6.676050278901254,0.0,6.665226534764528,6.676050278901254,6.665226534764528,paired,2828,1
3,0.027954041398283308,True,False,26,6.661757295824437,6.676050278901254,0.0,6.661757295824437,6.676050278901254,6.661757295824437,split,,2882
4,0.027954041398283308,True,False,25,6.656912357187053,6.676050278901254,0.0,6.656912357187053,6.676050278901254,6.656912357187053,merge,2827,
6,0.027954041398283308,True,False,24,6.65691416727439,6.676050278901254,0.0,6.65691416727439,6.676050278901254,6.65691416727439,merge,2873,
7,0.027954041398283308,True,False,25,6.656921017045203,6.676050278901254,0.0,6.656921017045203,6.676050278901254,6.656921017045203,split,,2886
9,0.027954041398283308,True,False,26,6.656921016678545,6.676050278901254,0.0,6.656921016678545,6.676050278901254,6.656921016678545,split,,2890
10,0.027954041398283308,True,False,27,6.656919207032274,6.676050278901254,0.0,6.656919207032274,6.676050278901254,6.656919207032274,split,,2873
13,0.027954041398283308,True,False,26,6.6460014743062565,6.676050278901254,0.0,6.6460014743062565,6.676050278901254,6.6460014743062565,merge,2866,
14,0.027954041398283308,True,False,27,6.656919207032274,6.676050278901254,0.0,6.656919207032274,6.676050278901254,6.656919207032274,split,,2866
19,0.027954041398283308,True,False,28,6.65666931396704,6.676050278901254,0.0,6.65666931396704,6.676050278901254,6.65666931396704,split,,865
20,0.027954041398283308,True,False,29,6.656668920117827,6.676050278901254,0.0,6.656668920117827,6.676050278901254,6.656668920117827,split,,2893
21,0.027954041398283308,True,True,30,6.679207762383452,6.679207762383452,0.0,6.679207762383452,6.679207762383452,6.679207762383452,split,,2812
24,0.027954041398283308,True,False,30,6.678950679025377,6.679207762383452,0.0,6.678950679025377,6.679207762383452,6.678950679025377,paired,2873,2788
25,0.027954041398283308,True,False,29,6.668446355175078,6.679207762383452,0.0,6.668446355175078,6.679207762383452,6.668446355175078,merge,2866,
27,0.027954041398283308,True,False,30,6.65735353905556,6.679207762383452,0.0,6.65735353905556,6.679207762383452,6.65735353905556,split,,2816
28,0.027954041398283308,True,False,30,6.657353527790114,6.679207762383452,0.0,6.657353527790114,6.679207762383452,6.657353527790114,paired,2890,2679
29,0.027954041398283308,True,False,31,6.657353515975487,6.679207762383452,0.0,6.657353515975487,6.679207762383452,6.657353515975487,split,,2680
31,0.027954041398283308,True,False,32,6.657353475066934,6.679207762383452,0.0,6.657353475066934,6.679207762383452,6.657353475066934,split,,2704
34,0.027954041398283308,False,False,32,6.657353475066934,6.679207762383452,0.0,6.657353475066934,6.679207762383452,6.527253417331458,paired,2844,2887
