iteration,temperature,accepted,new_best_utility,regions,effective_regions,dfs,best_accepted_dfs,penalty,current_utility,best_utility,candidate_utility,move_type,merge_parent_id,split_node_id
50,0.010928348848928307,True,False,29,29,0.46084414391432904,0.4791816735822501,0.0,0.46084414391432904,0.4791816735822501,0.46084414391432904,paired,2812,2788
51,0.010928348848928307,True,False,30,30,0.461949525722905,0.4791816735822501,0.0,0.461949525722905,0.4791816735822501,0.461949525722905,split,,2823
52,0.010928348848928307,True,False,31,31,0.47303750714215564,0.4791816735822501,0.0,0.47303750714215564,0.4791816735822501,0.47303750714215564,split,,2873
53,0.010928348848928307,True,False,31,31,0.47300442754886163,0.4791816735822501,0.0,0.47300442754886163,0.4791816735822501,0.47300442754886163,paired,3132,2318
54,0.010928348848928307,True,False,32,32,0.4730127662807824,0.4791816735822501,0.0,0.4730127662807824,0.4791816735822501,0.4730127662807824,split,,1
58,0.010928348848928307,True,False,31,31,0.46192478486153166,0.4791816735822501,0.0,0.46192478486153166,0.4791816735822501,0.46192478486153166,merge,2873,
59,0.010928348848928307,True,False,32,32,0.46192480168338457,0.4791816735822501,0.0,0.46192480168338457,0.4791816735822501,0.46192480168338457,split,,1779
60,0.010928348848928307,True,False,31,31,0.46192478486153166,0.4791816735822501,0.0,0.46192478486153166,0.4791816735822501,0.46192478486153166,merge,1779,
61,0.010928348848928307,True,False,30,30,0.46182308659398585,0.4791816735822501,0.0,0.46182308659398585,0.4791816735822501,0.46182308659398585,merge,1778,
62,0.010928348848928307,True,False,29,29,0.4618147478620653,0.4791816735822501,0.0,0.4618147478620653,0.4791816735822501,0.4618147478620653,merge,1,
64,0.010928348848928307,True,False,30,30,0.46184782746791486,0.4791816735822501,0.0,0.46184782746791486,0.4791816735822501,0.46184782746791486,split,,3132
65,0.010928348848928307,True,False,31,31,0.46191716826035606,0.4791816735822501,0.0,0.46191716826035606,0.4791816735822501,0.46191716826035606,split,,3133
66,0.010928348848928307,True,False,32,32,0.46230470521529043,0.4791816735822501,0.0,0.46230470521529043,0.4791816735822501,0.46230470521529043,split,,2877
68,0.010928348848928307,True,False,31,31,0.46230338944232685,0.4791816735822501,0.0,0.46230338944232685,0.4791816735822501,0.46230338944232685,merge,2847,
69,0.010928348848928307,True,False,31,31,0.46216837960854146,0.4791816735822501,0.0,0.46216837960854146,0.4791816735822501,0.46216837960854146,paired,2788,3241
70,0.010928348848928307,True,False,30,30,0.4621683795959858,0.4791816735822501,0.0,0.4621683795959858,0.4791816735822501,0.4621683795959858,merge,2318,
71,0.010928348848928307,True,False,31,31,0.4622629777375604,0.4791816735822501,0.0,0.4622629777375604,0.4791816735822501,0.4622629777375604,split,,3134
72,0.010928348848928307,True,False,30,30,0.4622629691372218,0.4791816735822501,0.0,0.4622629691372218,0.4791816735822501,0.4622629691372218,merge,3241,
73,0.010928348848928307,True,False,29,29,0.4622629367575007,0.4791816735822501,0.0,0.4622629367575007,0.4791816735822501,0.4622629367575007,merge,2211,
74,0.010928348848928307,True,False,30,30,0.4645506636736352,0.4791816735822501,0.0,0.4645506636736352,0.4791816735822501,0.4645506636736352,split,,2827
75,0.010928348848928307,True,False,30,30,0.4646523289329825,0.4791816735822501,0.0,0.4646523289329825,0.4791816735822501,0.4646523289329825,paired,2210,1778
76,0.010928348848928307,True,False,31,31,0.4757403103522332,0.4791816735822501,0.0,0.4757403103522332,0.4791816735822501,0.4757403103522332,split,,2873
77,0.010928348848928307,True,False,30,30,0.47572585513429894,0.4791816735822501,0.0,0.47572585513429894,0.4791816735822501,0.47572585513429894,merge,2209,
78,0.010928348848928307,True,False,29,29,0.4734381282181644,0.4791816735822501,0.0,0.4734381282181644,0.4791816735822501,0.4734381282181644,merge,2827,
79,0.010928348848928307,True,False,29,29,0.473433217217843,0.4791816735822501,0.0,0.473433217217843,0.4791816735822501,0.473433217217843,paired,2882,2837
80,0.010928348848928307,True,False,29,29,0.46234655157155585,0.4791816735822501,0.0,0.46234655157155585,0.4791816735822501,0.46234655157155585,paired,2873,2847
81,0.010928348848928307,True,False,28,28,0.4547715973787458,0.4791816735822501,0.0,0.4547715973787458,0.4791816735822501,0.4547715973787458,merge,2866,
82,0.010928348848928307,True,False,28,28,0.46124116976297996,0.4791816735822501,0.0,0.46124116976297996,0.4791816735822501,0.46124116976297996,paired,2823,2866
83,0.010928348848928307,True,False,28,28,0.46189554276506434,0.4791816735822501,0.0,0.46189554276506434,0.4791816735822501,0.46189554276506434,paired,2847,2812
84,0.010928348848928307,False,False,28,28,0.46189554276506434,0.4791816735822501,0.0,0.46189554276506434,0.4791816735822501,0.4555428006142813,paired,2866,2816
85,0.010928348848928307,True,False,27,27,0.4618955415567567,0.4791816735822501,0.0,0.4618955415567567,0.4791816735822501,0.4618955415567567,merge,2837,
86,0.010928348848928307,True,False,28,28,0.4618955428053186,0.4791816735822501,0.0,0.4618955428053186,0.4791816735822501,0.4618955428053186,split,,2893
87,0.010928348848928307,True,False,29,29,0.4618955441057036,0.4791816735822501,0.0,0.4618955441057036,0.4791816735822501,0.4618955441057036,split,,2894
88,0.010928348848928307,True,False,30,30,0.4618955442879957,0.4791816735822501,0.0,0.4618955442879957,0.4791816735822501,0.4618955442879957,split,,3366
89,0.010928348848928307,True,False,29,29,0.4615080073330613,0.4791816735822501,0.0,0.4615080073330613,0.4791816735822501,0.4615080073330613,merge,2877,
90,0.010928348848928307,True,False,30,30,0.472595988752312,0.4791816735822501,0.0,0.472595988752312,0.4791816735822501,0.472595988752312,split,,2873
92,0.010928348848928307,True,False,30,30,0.4735996722933421,0.4791816735822501,0.0,0.4735996722933421,0.4791816735822501,0.4735996722933421,paired,1778,2823
94,0.010928348848928307,True,False,29,29,0.4734942728021991,0.4791816735822501,0.0,0.4734942728021991,0.4791816735822501,0.4734942728021991,merge,2876,
95,0.010928348848928307,True,False,30,30,0.47362929123632314,0.4791816735822501,0.0,0.47362929123632314,0.4791816735822501,0.47362929123632314,split,,2788
97,0.010928348848928307,True,False,31,31,0.4736292924446308,0.4791816735822501,0.0,0.4736292924446308,0.4791816735822501,0.4736292924446308,split,,2837
99,0.010928348848928307,True,False,32,32,0.4736292958355566,0.4791816735822501,0.0,0.4736292958355566,0.4791816735822501,0.4736292958355566,split,,2789
101,0.01091455174001048,True,False,31,31,0.4625413144163059,0.4791816735822501,0.0,0.4625413144163059,0.4791816735822501,0.4625413144163059,merge,2873,
102,0.01090077205002914,True,False,32,32,0.46434537343160687,0.4791816735822501,0.0,0.46434537343160687,0.4791816735822501,0.46434537343160687,split,,2824
104,0.010873264838937613,False,False,32,32,0.46434537343160687,0.4791816735822501,0.0,0.46434537343160687,0.4791816735822501,0.4343453817449986,split,,2793
106,0.010845827040054557,True,False,31,31,0.4636896846565589,0.4791816735822501,0.0,0.4636896846565589,0.4791816735822501,0.4636896846565589,merge,2812,
109,0.010804800106587867,True,False,31,31,0.46366002783924565,0.4791816735822501,0.0,0.46366002783924565,0.4791816735822501,0.46366002783924565,paired,1777,2679
110,0.010791158978731615,True,False,30,30,0.4636600265388606,0.4791816735822501,0.0,0.4636600265388606,0.4791816735822501,0.4636600265388606,merge,2894,
111,0.010777535072884783,True,False,30,30,0.4635654367106777,0.4791816735822501,0.0,0.4635654367106777,0.4791816735822501,0.4635654367106777,paired,3134,2793
112,0.010763928367304472,True,False,31,31,0.46504493763344307,0.4791816735822501,0.0,0.46504493763344307,0.4791816735822501,0.46504493763344307,split,,2844
113,0.010750338840275242,True,False,31,31,0.4574712992135965,0.4791816735822501,0.0,0.4574712992135965,0.4791816735822501,0.4574712992135965,paired,2866,2847
114,0.010736766470109061,True,False,31,31,0.4574316155232094,0.4791816735822501,0.0,0.4574316155232094,0.4791816735822501,0.4574316155232094,paired,3133,1777
115,0.010723211235145283,True,False,31,31,0.4574330559689924,0.4791816735822501,0.0,0.4574330559689924,0.4791816735822501,0.4574330559689924,paired,2893,2848
116,0.010709673113750606,True,False,32,32,0.45743305646740484,0.4791816735822501,0.0,0.45743305646740484,0.4791816735822501,0.45743305646740484,split,,2680
117,0.010696152084319045,True,False,31,31,0.45595355554463946,0.4791816735822501,0.0,0.45595355554463946,0.4791816735822501,0.45595355554463946,merge,2844,
119,0.010669161215057666,True,False,30,30,0.4559535553623474,0.4791816735822501,0.0,0.4559535553623474,0.4791816735822501,0.4559535553623474,merge,3366,
120,0.010655691332152122,True,False,29,29,0.4559535470489557,0.4791816735822501,0.0,0.4559535470489557,0.4791816735822501,0.4559535470489557,merge,2793,
121,0.01064223845505817,True,False,30,30,0.4670415284682064,0.4791816735822501,0.0,0.4670415284682064,0.4791816735822501,0.4670415284682064,split,,2873
124,0.010601981644081944,True,False,30,30,0.46704152797025417,0.4791816735822501,0.0,0.46704152797025417,0.4791816735822501,0.46704152797025417,paired,2680,2727
125,0.010588596575805822,True,False,31,31,0.4670415362836458,0.4791816735822501,0.0,0.4670415362836458,0.4791816735822501,0.4670415362836458,split,,2793
126,0.01057522840626229,True,False,32,32,0.474616490476456,0.4791816735822501,0.0,0.474616490476456,0.4791816735822501,0.474616490476456,split,,2866
129,0.01053522507681434,True,False,31,31,0.4746164892681482,0.4791816735822501,0.0,0.4746164892681482,0.4791816735822501,0.4746164892681482,merge,2837,
130,0.010521924289122806,True,False,30,30,0.47458683216609415,0.4791816735822501,0.0,0.47458683216609415,0.4791816735822501,0.47458683216609415,merge,1777,
132,0.010495373069522798,True,False,31,31,0.47458683337440183,0.4791816735822501,0.0,0.47458683337440183,0.4791816735822501,0.47458683337440183,split,,2837
133,0.010482122595240251,True,False,32,32,0.47458684101748955,0.4791816735822501,0.0,0.47458684101748955,0.4791816735822501,0.47458684101748955,split,,2794
134,0.010468888849764536,True,False,31,31,0.47455376141163985,0.4791816735822501,0.0,0.47455376141163985,0.4791816735822501,0.47455376141163985,merge,3132,
135,0.01045567181197543,True,False,30,30,0.4745537602033322,0.4791816735822501,0.0,0.4745537602033322,0.4791816735822501,0.4745537602033322,merge,2837,
137,0.010429287775109437,True,False,31,31,0.4746591596944752,0.4791816735822501,0.0,0.4746591596944752,0.4791816735822501,0.4746591596944752,split,,2876
138,0.010416120733925293,True,False,31,31,0.4745537614518941,0.4791816735822501,0.0,0.4745537614518941,0.4791816735822501,0.4745537614518941,paired,2876,2893
139,0.010402970316213171,True,False,32,32,0.4745537626602018,0.4791816735822501,0.0,0.4745537626602018,0.4791816735822501,0.4745537626602018,split,,2837
142,0.010363618594169012,True,False,31,31,0.47455376141163985,0.4791816735822501,0.0,0.47455376141163985,0.4791816735822501,0.47455376141163985,merge,2893,
143,0.010350534460737403,True,False,30,30,0.47455376141117966,0.4791816735822501,0.0,0.47455376141117966,0.4791816735822501,0.47455376141117966,merge,2727,
144,0.010337466846106258,True,False,31,31,0.4745537614901906,0.4791816735822501,0.0,0.4745537614901906,0.4791816735822501,0.4745537614901906,split,,2790
145,0.01032441572942049,True,False,32,32,0.4745546873831364,0.4791816735822501,0.0,0.4745546873831364,0.4791816735822501,0.4745546873831364,split,,2853
148,0.010285361158879295,True,False,31,31,0.4745546797400487,0.4791816735822501,0.0,0.4745546797400487,0.4791816735822501,0.4745546797400487,merge,2794,
149,0.010272375825950237,True,False,30,30,0.47455467853174105,0.4791816735822501,0.0,0.47455467853174105,0.4791816735822501,0.47455467853174105,merge,2837,
151,0.010246454321587143,True,False,30,30,0.4634997767183399,0.4791816735822501,0.0,0.4634997767183399,0.4791816735822501,0.4634997767183399,paired,2873,3132
153,0.010220598228030647,True,False,31,31,0.4635691175107811,0.4791816735822501,0.0,0.4635691175107811,0.4791816735822501,0.4635691175107811,split,,3133
154,0.010207694658707701,True,False,30,30,0.45599416331797105,0.4791816735822501,0.0,0.45599416331797105,0.4791816735822501,0.45599416331797105,merge,2866,
155,0.010194807380221903,True,False,31,31,0.4561293351859876,0.4791816735822501,0.0,0.4561293351859876,0.4791816735822501,0.4561293351859876,split,,2800
156,0.010181936372005965,True,False,30,30,0.4560599943935464,0.4791816735822501,0.0,0.4560599943935464,0.4791816735822501,0.4560599943935464,merge,3133,
157,0.010169081613518573,True,False,29,29,0.45605906850060063,0.4791816735822501,0.0,0.45605906850060063,0.4791816735822501,0.45605906850060063,merge,2853,
158,0.010156243084244343,True,False,30,30,0.4560590697089083,0.4791816735822501,0.0,0.4560590697089083,0.4791816735822501,0.4560590697089083,split,,2837
159,0.010143420763693787,True,False,31,31,0.4560633937001958,0.4791816735822501,0.0,0.4560633937001958,0.4791816735822501,0.4560633937001958,split,,2850
160,0.010130614631403296,True,False,31,31,0.4560590773519959,0.4791816735822501,0.0,0.4560590773519959,0.4791816735822501,0.4560590773519959,paired,2850,2794
162,0.010105050849877182,True,False,32,32,0.45605908148135815,0.4791816735822501,0.0,0.45605908148135815,0.4791816735822501,0.45605908148135815,split,,2797
163,0.010092293159843375,True,False,31,31,0.4542550224660571,0.4791816735822501,0.0,0.4542550224660571,0.4791816735822501,0.4542550224660571,merge,2824,
164,0.010079551576473198,False,False,31,31,0.4542550224660571,0.4791816735822501,0.0,0.4542550224660571,0.4791816735822501,0.45315396464876867,paired,2823,2850
165,0.010066826079431887,True,False,32,32,0.4543243632584984,0.4791816735822501,0.0,0.4543243632584984,0.4791816735822501,0.4543243632584984,split,,3133
166,0.010054116648410352,True,False,31,31,0.4543243629737576,0.4791816735822501,0.0,0.4543243629737576,0.4791816735822501,0.4543243629737576,merge,2679,
167,0.01004142326312514,True,False,32,32,0.4543540200758116,0.4791816735822501,0.0,0.4543540200758116,0.4791816735822501,0.4543540200758116,split,,1777
169,0.010016084548757893,True,False,31,31,0.45435257838146664,0.4791816735822501,0.0,0.45435257838146664,0.4791816735822501,0.45435257838146664,merge,2848,
170,0.010003439179236868,True,False,31,31,0.45615663618845986,0.4791816735822501,0.0,0.45615663618845986,0.4791816735822501,0.45615663618845986,paired,2837,2824
171,0.00999080977457412,True,False,31,31,0.4561566362917412,0.4791816735822501,0.0,0.4561566362917412,0.4791816735822501,0.4561566362917412,paired,2790,3366
172,0.009978196314613918,True,False,32,32,0.45681232506678926,0.4791816735822501,0.0,0.45681232506678926,0.4791816735822501,0.45681232506678926,split,,2812
173,0.009965598779225973,True,False,31,31,0.4561566362917412,0.4791816735822501,0.0,0.4561566362917412,0.4791816735822501,0.4561566362917412,merge,2812,
174,0.009953017148305413,True,False,32,32,0.4637315904845513,0.4791816735822501,0.0,0.4637315904845513,0.4791816735822501,0.4637315904845513,split,,2866
179,0.00989034685881785,True,False,31,31,0.463731586355189,0.4791816735822501,0.0,0.463731586355189,0.4791816735822501,0.463731586355189,merge,2797,
180,0.009877860233918465,True,False,32,32,0.46373158756349686,0.4791816735822501,0.0,0.46373158756349686,0.4791816735822501,0.46373158756349686,split,,2837
184,0.009828071179841443,True,False,31,31,0.46366224677105555,0.4791816735822501,0.0,0.46366224677105555,0.4791816735822501,0.46366224677105555,merge,3133,
185,0.009815663178377095,True,False,31,31,0.4641459146718891,0.4791816735822501,0.0,0.4641459146718891,0.4791816735822501,0.4641459146718891,paired,2824,2827
186,0.009803270842092364,True,False,32,32,0.4651416370703294,0.4791816735822501,0.0,0.4651416370703294,0.4791816735822501,0.4651416370703294,split,,2831
187,0.009790894151209865,True,False,31,31,0.4651416368880373,0.4791816735822501,0.0,0.4651416368880373,0.4791816735822501,0.4651416368880373,merge,3366,
188,0.00977853308597718,True,False,32,32,0.46514997561995797,0.4791816735822501,0.0,0.46514997561995797,0.4791816735822501,0.46514997561995797,split,,1
189,0.009766187626666825,False,False,32,32,0.46514997561995797,0.4791816735822501,0.0,0.46514997561995797,0.4791816735822501,0.44623795703920865,split,,2873
191,0.00974154344702769,True,False,31,31,0.46512031851790386,0.4791816735822501,0.0,0.46512031851790386,0.4791816735822501,0.46512031851790386,merge,1777,
192,0.009729244687368351,True,False,30,30,0.4651119797859833,0.4791816735822501,0.0,0.4651119797859833,0.4791816735822501,0.4651119797859833,merge,1,
193,0.009716961454970169,True,False,29,29,0.4649768079179667,0.4791816735822501,0.0,0.4649768079179667,0.4791816735822501,0.4649768079179667,merge,2800,
194,0.009704693730229875,True,False,28,28,0.4649754921450031,0.4791816735822501,0.0,0.4649754921450031,0.4791816735822501,0.4649754921450031,merge,2847,
195,0.009692441493568958,True,False,29,29,0.46497549339356503,0.4791816735822501,0.0,0.46497549339356503,0.4791816735822501,0.46497549339356503,split,,2893
196,0.009680204725433619,True,False,30,30,0.4649768091665286,0.4791816735822501,0.0,0.4649768091665286,0.4791816735822501,0.4649768091665286,split,,2847
198,0.00965577751664789,True,False,31,31,0.4650064662685826,0.4791816735822501,0.0,0.4650064662685826,0.4791816735822501,0.4650064662685826,split,,1777
199,0.009643587037013216,True,False,32,32,0.4651118657597257,0.4791816735822501,0.0,0.4651118657597257,0.4791816735822501,0.4651118657597257,split,,2876
200,0.009631411947935485,True,False,31,31,0.4651118645111637,0.4791816735822501,0.0,0.4651118645111637,0.4791816735822501,0.4651118645111637,merge,2893,
201,0.009619252229984027,True,False,31,31,0.46518119766051735,0.4791816735822501,0.0,0.46518119766051735,0.4791816735822501,0.46518119766051735,paired,2794,3133
202,0.009607107863752696,True,False,32,32,0.4665650264747514,0.4791816735822501,0.0,0.4665650264747514,0.4791816735822501,0.4665650264747514,split,,2828
203,0.009594978829859848,True,False,31,31,0.46518119766051735,0.4791816735822501,0.0,0.46518119766051735,0.4791816735822501,0.46518119766051735,merge,2828,
204,0.009582865108948313,False,False,31,31,0.46518119766051735,0.4791816735822501,0.0,0.46518119766051735,0.4791816735822501,0.38057786137213656,merge,2841,
205,0.009570766681685355,True,False,30,30,0.4651811964522097,0.4791816735822501,0.0,0.4651811964522097,0.4791816735822501,0.4651811964522097,merge,2837,
207,0.009546615630896234,True,False,29,29,0.46517988067924604,0.4791816735822501,0.0,0.46517988067924604,0.4791816735822501,0.46517988067924604,merge,2847,
208,0.009534562968826519,True,False,29,29,0.4641841583598166,0.4791816735822501,0.0,0.4641841583598166,0.4791816735822501,0.4641841583598166,paired,2831,2790
209,0.009522525523318209,True,False,30,30,0.4656636592825819,0.4791816735822501,0.0,0.4656636592825819,0.4791816735822501,0.4656636592825819,split,,2844
210,0.0095105032751603,True,False,31,31,0.46746771829788303,0.4791816735822501,0.0,0.46746771829788303,0.4791816735822501,0.46746771829788303,split,,2824
211,0.009498496205166046,True,False,32,32,0.46746771954644495,0.4791816735822501,0.0,0.46746771954644495,0.4791816735822501,0.46746771954644495,split,,2893
213,0.009474527523042574,True,False,32,32,0.4666439073987275,0.4791816735822501,0.0,0.4666439073987275,0.4791816735822501,0.4666439073987275,paired,2844,2812
214,0.009462565872660854,True,False,31,31,0.46657456660628627,0.4791816735822501,0.0,0.46657456660628627,0.4791816735822501,0.46657456660628627,merge,3133,
215,0.009450619323937712,True,False,32,32,0.4666439073987275,0.4791816735822501,0.0,0.4666439073987275,0.4791816735822501,0.4666439073987275,split,,3133
216,0.009438687857807212,True,False,31,31,0.4666439073197167,0.4791816735822501,0.0,0.4666439073197167,0.4791816735822501,0.4666439073197167,merge,2790,
218,0.009414870097180703,True,False,32,32,0.4666522460516374,0.4791816735822501,0.0,0.4666522460516374,0.4791816735822501,0.4666522460516374,split,,1
219,0.009402983764673049,False,False,32,32,0.4666522460516374,0.4791816735822501,0.0,0.4666522460516374,0.4791816735822501,0.43675394431918313,split,,1778
220,0.009391112438734688,True,False,31,31,0.4643645191355029,0.4791816735822501,0.0,0.4643645191355029,0.4791816735822501,0.4643645191355029,merge,2827,
221,0.00937925610041973,True,False,30,30,0.46433486203344876,0.4791816735822501,0.0,0.46433486203344876,0.4791816735822501,0.46433486203344876,merge,1777,
222,0.009367414730806206,True,False,29,29,0.4643265233015282,0.4791816735822501,0.0,0.4643265233015282,0.4791816735822501,0.4643265233015282,merge,1,
223,0.00935558831099604,True,False,28,28,0.464257182509087,0.4791816735822501,0.0,0.464257182509087,0.4791816735822501,0.464257182509087,merge,3133,
224,0.009343776822115008,True,False,29,29,0.4642571825880978,0.4791816735822501,0.0,0.4642571825880978,0.4791816735822501,0.4642571825880978,split,,2790
225,0.00933198024531272,True,False,30,30,0.4642571867174599,0.4791816735822501,0.0,0.4642571867174599,0.4791816735822501,0.4642571867174599,split,,2797
226,0.009320198561762581,True,False,29,29,0.46360149794241196,0.4791816735822501,0.0,0.46360149794241196,0.4791816735822501,0.46360149794241196,merge,2812,
227,0.00930843175266177,True,False,28,28,0.46356841833656237,0.4791816735822501,0.0,0.46356841833656237,0.4791816735822501,0.46356841833656237,merge,3132,
228,0.0092966797992312,True,False,29,29,0.46356973410952595,0.4791816735822501,0.0,0.46356973410952595,0.4791816735822501,0.46356973410952595,split,,2847
229,0.009284942682715496,True,False,29,29,0.4635993911325692,0.4791816735822501,0.0,0.4635993911325692,0.4791816735822501,0.4635993911325692,paired,2790,1777
230,0.009273220384382956,True,False,28,28,0.4634939916414262,0.4791816735822501,0.0,0.4634939916414262,0.4791816735822501,0.4634939916414262,merge,2876,
231,0.009261512885525534,True,False,29,29,0.4634939919261669,0.4791816735822501,0.0,0.4634939919261669,0.4791816735822501,0.4634939919261669,split,,2679
232,0.009249820167458797,True,False,30,30,0.46349399200517766,0.4791816735822501,0.0,0.46349399200517766,0.4791816735822501,0.46349399200517766,split,,2790
