revision,chain,divergences,mean_log_likelihood,mean_step_size,mean_n_steps,mean_x,max_mean_bc,max_mean_sigma,max_abs_baseline_minus_obs_ppt,count_abs_baseline_minus_obs_gt_50ppt
456afa3,0,0,-4515.0442219975275,0.16977867484092712,31.0,0.6286198699510658,1.7712161743839583,0.09995790385653575,101.63981902465821,39
456afa3,1,0,-2374.024087238721,0.057047318667173386,63.0,0.978364957692783,1.1437832690397898,0.09891030906712016,93.97693179372152,1
456afa3,2,0,-4795.3008366444865,0.16422294080257416,31.0,0.6136654355574255,1.7059333340764045,0.09996254776269198,98.5285058380127,44
456afa3,3,0,-2373.96987484384,0.06676042824983597,63.0,0.9790245122452151,1.14407064747413,0.09892380046496789,93.98867606353761,1
90a71c4,0,0,-4515.091635398892,0.15961626172065735,31.0,0.6279112990450766,1.7704349527756373,0.09995775278285146,101.53468298899332,39
90a71c4,1,0,-2374.1160285328824,0.070598304271698,63.0,0.9790975547833195,1.144797697887818,0.0989140011496842,93.99068224995932,1
90a71c4,2,0,-4795.241485869066,0.1571783572435379,31.0,0.6140203699882689,1.7065592796524365,0.09996241288855671,98.61280151977539,44
90a71c4,3,0,-4795.312635094082,0.1480388045310974,31.0,0.6137282540514378,1.706067980659008,0.09996293468053143,98.5443074101766,44
