chain,worst_common_month,common_month_spike_score_ppt,bcob_median_baseline_minus_obs_ppt,mcoh_median_baseline_minus_obs_ppt,flag_over_50_ppt,revision
0,2023-07,-1.8182685155232718,-1.8182685155232718,0.9962356369018579,False,v0.6-pr642-postfix
1,2023-07,-1.8188495633443154,-1.8188495633443154,0.9992205818176316,False,v0.6-pr642-postfix
2,2026-01,85.5743071281433,90.48841885681153,85.5743071281433,True,v0.6-pr642-postfix
3,2026-01,85.57960765355428,90.5098849802653,85.57960765355428,True,v0.6-pr642-postfix
