repeat,seed,chain,month,bcob_median_residual_ppt,mcoh_median_residual_ppt,joint_score_ppt
0,637100,0,2023-02,-2.689449546813975,-1.4764608230590852,-2.689449546813975
0,637100,0,2023-03,-3.499504714965809,-1.563277984619134,-3.499504714965809
0,637100,0,2023-04,-3.4969144897461035,-0.9210142974853568,-3.4969144897461035
0,637100,0,2023-05,-3.181369064331051,0.40716109085082053,-3.181369064331051
0,637100,0,2023-06,-3.374856018066396,0.8128907012939521,-3.374856018066396
0,637100,0,2023-07,-1.2300544738769474,1.5762399520873913,-1.2300544738769474
0,637100,0,2023-08,-3.896395462036139,0.8252424621582009,-3.896395462036139
0,637100,0,2023-09,-2.594140090942375,4.9165781326293825,-2.594140090942375
0,637100,0,2023-10,-4.135142883300773,-0.37526934051513194,-4.135142883300773
0,637100,0,2023-11,-2.845390342712392,-0.8600359039306511,-2.845390342712392
0,637100,0,2023-12,-2.927429428100581,-1.3831067657470726,-2.927429428100581
0,637100,0,2024-01,-3.614006645202636,-0.639672576904303,-3.614006645202636
0,637100,0,2024-03,-0.6688149414062536,-1.293296745300296,-1.293296745300296
0,637100,0,2024-04,-0.15092617797850494,-2.871364379882806,-2.871364379882806
0,637100,0,2024-05,-1.7438192443847669,-0.3212352066040012,-1.7438192443847669
0,637100,0,2024-07,-9.596283241271976,3.239837547302244,-9.596283241271976
0,637100,0,2024-08,-4.191740615844722,1.4785668716430678,-4.191740615844722
0,637100,0,2024-09,-2.919434860229501,1.8674971313476476,-2.919434860229501
0,637100,0,2024-10,-2.610909866333003,0.23335791015625773,-2.610909866333003
0,637100,0,2024-11,-4.673182479858411,-1.1871199569702071,-4.673182479858411
0,637100,0,2024-12,-4.838589126586925,0.7414659729003859,-4.838589126586925
0,637100,0,2025-01,-3.3478844451904166,-0.6948831329345637,-3.3478844451904166
0,637100,0,2025-02,-4.612953994750967,-1.6744574127197325,-4.612953994750967
0,637100,0,2025-03,-1.0410137023925756,-0.49683535003661916,-1.0410137023925756
0,637100,0,2025-04,-1.677722480773923,-1.221363906860347,-1.677722480773923
0,637100,0,2025-05,-2.059953933715832,-1.3087846145629811,-2.059953933715832
0,637100,0,2025-06,-2.5799979019164994,2.1479168167114295,-2.5799979019164994
0,637100,0,2025-07,-2.220241752624503,2.6116163940429686,-2.220241752624503
0,637100,0,2025-08,-2.9866493988037064,1.5192388534545813,-2.9866493988037064
0,637100,0,2025-09,-2.56041011047364,1.3200207977294838,-2.56041011047364
0,637100,0,2025-10,-2.488881317138663,-0.12249520874024711,-2.488881317138663
0,637100,0,2025-11,-3.079206329345709,-0.7099927291870216,-3.079206329345709
0,637100,0,2025-12,91.08857038116454,84.68206680297851,84.68206680297851
0,637100,0,2026-01,-3.4805278625488256,-0.734248291015632,-3.4805278625488256
0,637100,0,2026-02,-4.681379333496096,-2.094139701843261,-4.681379333496096
0,637100,1,2023-02,-2.4083798065185533,-1.3413212356567499,-2.4083798065185533
0,637100,1,2023-03,-3.355579498291007,-1.48230451202393,-3.355579498291007
0,637100,1,2023-04,-3.2923173675537214,-0.688968677520748,-3.2923173675537214
0,637100,1,2023-05,-3.0962290344238284,0.5178054924011235,-3.0962290344238284
0,637100,1,2023-06,-3.1485316467285145,0.8512113876342795,-3.1485316467285145
0,637100,1,2023-07,-1.1688768615722722,1.6183888092041059,-1.1688768615722722
0,637100,1,2023-08,-3.711841949462894,0.880669570922862,-3.711841949462894
0,637100,1,2023-09,-2.587463897705078,4.882530136108386,-2.587463897705078
0,637100,1,2023-10,-3.8529381561279195,-0.3543439064025904,-3.8529381561279195
0,637100,1,2023-11,-2.788637771606446,-0.9157265319824148,-2.788637771606446
0,637100,1,2023-12,-2.7850698013305646,-1.2809496841430672,-2.7850698013305646
0,637100,1,2024-01,-3.459899665832509,-0.5386615600585856,-3.459899665832509
0,637100,1,2024-03,-0.39087031555175145,-1.1391785812378004,-1.1391785812378004
0,637100,1,2024-04,0.046748809814459946,-2.669940124511726,-2.669940124511726
0,637100,1,2024-05,-1.6026790084838893,-0.2745549850463931,-1.6026790084838893
0,637100,1,2024-07,-9.622437446594233,3.227632606506347,-9.622437446594233
0,637100,1,2024-08,-4.10619297027587,1.4869817276000958,-4.10619297027587
0,637100,1,2024-09,-2.8805374526977516,1.911438858032227,-2.8805374526977516
0,637100,1,2024-10,-2.590312179565416,0.23210218811036043,-2.590312179565416
0,637100,1,2024-11,-4.640234405517589,-1.2133453292846639,-4.640234405517589
0,637100,1,2024-12,-4.687751586914061,1.0120986785888704,-4.687751586914061
0,637100,1,2025-01,-3.128374916076652,-0.5508540344238213,-3.128374916076652
0,637100,1,2025-02,-4.402998443603508,-1.535423431396481,-4.402998443603508
0,637100,1,2025-03,-0.8733273010253981,-0.39512265777588595,-0.8733273010253981
0,637100,1,2025-04,-1.5178310089111307,-1.059178291320805,-1.5178310089111307
0,637100,1,2025-05,-1.8580336914062627,-1.1921517868041889,-1.8580336914062627
0,637100,1,2025-06,-2.5166855316162042,2.1323539276123,-2.5166855316162042
0,637100,1,2025-07,-2.144398254394531,2.641544486999507,-2.144398254394531
