revision,variable,max_rhat,min_ess_bulk,min_ess_tail
456afa3,x,1.668126187681916,6.266083764540666,76.45952177375912
456afa3,bc,2.095459183647505,5.192736018978716,23.917324635145555
456afa3,sigma,1.5261906058115153,7.0408768999612885,24.318451746537313
90a71c4,x,1.4965969642199832,7.258618236196826,24.039077526634966
90a71c4,bc,2.402022419133505,4.845602991257112,24.055547724417757
90a71c4,sigma,1.7305191112064524,6.023055235853546,24.450466239204516
