repeat,seed,chain,spike,winning_month,max_joint_score_ppt,winning_bcob_median_residual_ppt,winning_mcoh_median_residual_ppt,feb2026_joint_score_ppt,feb2026_spike,divergences
0,637100,0,True,2025-12,84.68206680297851,91.08857038116454,84.68206680297851,-4.681379333496096,False,0
0,637100,1,True,2026-01,85.05954448699951,89.85541986083985,85.05954448699951,-4.5160895767211855,False,0
0,637100,2,True,2026-01,84.87506880950929,89.65025280761719,84.87506880950929,-4.51733255004882,False,0
0,637100,3,True,2025-12,84.71126123046875,91.12981693267822,84.71126123046875,-4.709505989074714,False,0
1,637101,0,False,2023-07,-1.8380508651733436,-1.8380508651733436,0.9402387962341265,-8.296731590270994,False,0
1,637101,1,False,2023-07,-1.8398093261718742,-1.8398093261718742,0.9776745681762691,-8.266520874023428,False,0
1,637101,2,False,2023-07,-1.8282100372314432,-1.8282100372314432,0.975505794525148,-8.275382240295414,False,0
1,637101,3,False,2023-07,-1.8361235504150386,-1.8361235504150386,1.0040874748230024,-8.228918640136726,False,0
2,637102,0,True,2026-02,83.11600801086426,89.53758863067627,83.11600801086426,83.11600801086426,True,0
2,637102,1,False,2025-02,1.6025781860351458,1.6025781860351458,1.6576309509277394,-8.000172554016117,False,32
2,637102,2,True,2025-12,84.62800783538819,91.0637518081665,84.62800783538819,-4.664440711975104,False,0
2,637102,3,True,2025-12,84.84092123413086,91.27750270843507,84.84092123413086,-4.669981994628898,False,0
3,637103,0,False,2023-07,-1.8350422668457043,-1.8350422668457043,0.9744505500793466,-8.300585029602047,False,0
3,637103,1,False,2023-07,-1.803145866394047,-1.803145866394047,1.0188239250183102,-8.31763443756104,False,0
3,637103,2,False,2023-07,-1.8030807189941385,-1.8030807189941385,0.9990949478149389,-8.278069473266598,False,0
3,637103,3,False,2023-07,-1.8192671203613315,-1.8192671203613315,0.9964271049499516,-8.223880119323738,False,0
4,637104,0,False,2023-07,-1.8464438171386774,-1.8464438171386774,0.9594460830688476,-8.240290222167971,False,2
4,637104,1,True,2026-02,83.0144034576416,89.47239513397217,83.0144034576416,83.0144034576416,True,0
4,637104,2,False,2023-07,-1.8595355911254927,-1.8595355911254927,0.9733984832763625,-8.270772727966317,False,0
4,637104,3,False,2023-07,-1.79978496551513,-1.79978496551513,0.9906475639343242,-8.237669357299794,False,0
5,637105,0,False,2023-07,-1.8221232986450246,-1.8221232986450246,1.0025038490295373,-8.253362884521493,False,0
5,637105,1,False,2023-07,-1.819281120300289,-1.819281120300289,0.9947984046936043,-8.291863273620592,False,0
5,637105,2,True,2025-12,84.78938903045655,91.18933654785157,84.78938903045655,-4.727180175781243,False,0
5,637105,3,False,2023-07,-1.804696006774904,-1.804696006774904,0.9938575134277343,-8.284322875976557,False,0
6,637106,0,False,2023-07,-1.8008134307861354,-1.8008134307861354,1.0304369430541982,-8.240319671630857,False,0
6,637106,1,True,2026-02,83.37369953155518,89.92657522583008,83.37369953155518,83.37369953155518,True,0
6,637106,2,True,2026-01,85.14790910339356,90.04762393188477,85.14790910339356,-4.528389778137196,False,0
6,637106,3,False,2023-07,-1.8489797439575142,-1.8489797439575142,0.9647406234741212,-8.25852739715576,False,1
7,637107,0,False,2023-07,-1.826452720642095,-1.826452720642095,0.997678924560546,-8.297049339294446,False,0
7,637107,1,False,2023-07,-1.797351448059075,-1.797351448059075,0.9857587242126442,-8.318348960876463,False,4
7,637107,2,False,2023-07,-1.8207516632080143,-1.8207516632080143,0.9867851791381881,-8.313266700744634,False,0
7,637107,3,True,2026-02,83.55638919067383,90.07149136352538,83.55638919067383,83.55638919067383,True,0
8,637108,0,True,2026-01,85.30588529205322,90.17524560546875,85.30588529205322,-4.498529174804688,False,0
8,637108,1,True,2026-01,85.06897391510009,89.9558497467041,85.06897391510009,-4.514374710083004,False,0
8,637108,2,False,2023-07,-1.825875106811523,-1.825875106811523,0.985033782958979,-8.282591415405278,False,0
8,637108,3,False,2023-07,-1.8266673049926823,-1.8266673049926823,0.9705800476074273,-8.287334312438958,False,0
9,637109,0,False,2023-07,-1.7981303100585961,-1.7981303100585961,1.0066438674926772,-8.263223632812497,False,2
9,637109,1,True,2025-03,50.05013898468019,57.81164117431641,50.05013898468019,-6.1753243408203105,False,0
9,637109,2,False,2023-07,-1.8186935272216829,-1.8186935272216829,0.989635334014892,-8.229255729675288,False,0
9,637109,3,False,2023-07,-1.8316467895507742,-1.8316467895507742,0.9717014999389662,-8.276007194519039,False,0
