likelihood,variable,max_rhat,min_ess_bulk,min_ess_tail
PEFO,x,1.4965969642199832,7.258618236196826,24.039077526634966
PEFO,bc,2.402022419133505,4.845602991257112,24.055547724417757
PEFO,sigma,1.7305191112064524,6.023055235853546,24.450466239204516
additive,x,1.0001108813359203,58115.417959963095,24040.41498367058
additive,bc,1.0001779698620572,81502.43247125288,56656.82529431172
additive,sigma,1.0002032338139364,39597.60812096771,22774.615345967257
