revision,chain,divergences,mean_log_likelihood,mean_step_size,mean_n_steps,mean_x,max_mean_bc,max_mean_sigma,max_abs_baseline_minus_obs_ppt,count_abs_baseline_minus_obs_gt_50ppt
456afa3,0,0,-4515.0442219975275,0.16977867484092712,31.0,0.6286198699510658,1.7712161743839583,0.09995790385653575,101.63981902465821,39
456afa3,1,0,-2374.024087238721,0.057047318667173386,63.0,0.978364957692783,1.1437832690397898,0.09891030906712016,93.97693179372152,1
456afa3,2,0,-4795.3008366444865,0.16422294080257416,31.0,0.6136654355574255,1.7059333340764045,0.09996254776269198,98.5285058380127,44
456afa3,3,0,-2373.96987484384,0.06676042824983597,63.0,0.9790245122452151,1.14407064747413,0.09892380046496789,93.98867606353761,1
v0.6-pr642-postfix,0,0,-2372.630860824486,0.061213523149490356,63.0,0.9801423185447484,1.1447105810920397,0.09891706335122387,93.98631318715414,1
v0.6-pr642-postfix,1,0,-2372.615502475985,0.05258449539542198,63.6912,0.9781211754260997,1.144083932985862,0.09891259199207028,93.97100030771892,1
v0.6-pr642-postfix,2,0,-4794.707010880609,0.18331113457679749,31.0,0.6153341374523517,1.7100104413946469,0.09996249578843514,99.09734046223957,44
v0.6-pr642-postfix,3,0,-4794.59698564525,0.17368771135807037,31.0,0.6157950696103894,1.7101827475309372,0.09996293222531677,99.11695404713947,44
