iteration,temperature,candidate_score,current_score,best_score,accepted,new_best,regions,merge_parent_id,split_node_id
0,0.0926150421877901,6.6375635445193915,6.6375635445193915,6.6375635445193915,True,True,32,2828,2893
1,0.0926150421877901,6.674336512639179,6.674336512639179,6.674336512639179,True,True,32,2824,2847
4,0.0926150421877901,6.673363735439555,6.673363735439555,6.674336512639179,True,False,32,2831,2837
6,0.0926150421877901,6.6143322050727456,6.6143322050727456,6.674336512639179,True,False,32,2837,1777
7,0.0926150421877901,6.673363769061076,6.673363769061076,6.674336512639179,True,False,32,1777,2848
8,0.0926150421877901,6.683393498166943,6.683393498166943,6.683393498166943,True,True,32,2877,2850
9,0.0926150421877901,6.6916929961627645,6.6916929961627645,6.6916929961627645,True,True,32,2820,3013
13,0.0926150421877901,6.692684869716693,6.692684869716693,6.692684869716693,True,True,32,2873,2831
14,0.0926150421877901,6.632644603128469,6.632644603128469,6.692684869716693,True,False,32,3013,1777
15,0.0926150421877901,6.642492721710397,6.642492721710397,6.692684869716693,True,False,32,2816,2679
17,0.0926150421877901,6.642488940570519,6.642488940570519,6.692684869716693,True,False,32,2850,2853
18,0.0926150421877901,6.641406631195295,6.641406631195295,6.692684869716693,True,False,32,2831,3132
19,0.0926150421877901,6.620447888283184,6.620447888283184,6.692684869716693,True,False,32,2876,2894
22,0.0926150421877901,6.620447831644853,6.620447831644853,6.692684869716693,True,False,32,2848,2837
23,0.0926150421877901,6.638268750606272,6.638268750606272,6.692684869716693,True,False,32,2827,2876
24,0.0926150421877901,6.52220387290361,6.52220387290361,6.692684869716693,True,False,32,2823,3133
25,0.0926150421877901,6.501097316980655,6.501097316980655,6.692684869716693,True,False,32,2876,2788
26,0.0926150421877901,6.501100469872192,6.501100469872192,6.692684869716693,True,False,32,2853,3366
27,0.0926150421877901,6.501096478154281,6.501096478154281,6.692684869716693,True,False,32,2813,2873
29,0.0926150421877901,6.364771369159239,6.501096478154281,6.692684869716693,False,False,32,2844,3486
31,0.0914493986101413,6.504916352716194,6.504916352716194,6.692684869716693,True,False,32,2847,2727
32,0.09029842570496664,6.418365427890318,6.418365427890318,6.692684869716693,True,False,32,2812,2728
33,0.08916193882866234,6.414542865276662,6.414542865276662,6.692684869716693,True,False,32,2837,2847
34,0.0880397556615305,6.482488135603852,6.482488135603852,6.692684869716693,True,False,32,1777,3013
35,0.08693169617853043,6.482486292627975,6.482486292627975,6.692684869716693,True,False,32,2873,3073
36,0.0858375826203985,6.568243406863019,6.568243406863019,6.692684869716693,True,False,32,2847,2812
37,0.08475723946513128,6.570288180182274,6.570288180182274,6.692684869716693,True,False,32,3133,2800
39,0.08263717329288453,6.145623191629568,6.570288180182274,6.692684869716693,False,False,32,2870,2740
40,0.081597110166545,6.562278242005618,6.562278242005618,6.692684869716693,True,False,32,2866,2813
41,0.08057013716978839,6.562278256197569,6.562278256197569,6.692684869716693,True,False,32,2894,2837
42,0.07955608955156436,6.562278792371757,6.562278792371757,6.692684869716693,True,False,32,3366,2729
44,0.07756612178811577,6.428528213088754,6.562278792371757,6.692684869716693,False,False,32,2844,2730
45,0.07658988240442999,6.562279078001659,6.562279078001659,6.692684869716693,True,False,32,2837,2789
46,0.07562592987114085,6.671593883160035,6.671593883160035,6.692684869716693,True,False,32,2729,2823
48,0.07373426873781112,6.667667554308618,6.667667554308618,6.692684869716693,True,False,32,2800,2847
49,0.07280625667004584,6.667667553077067,6.667667553077067,6.692684869716693,True,False,32,3073,2837
50,0.07188992446854436,6.667667537301725,6.667667537301725,6.692684869716693,True,False,32,2728,2894
51,0.07098512513168824,6.667667823251897,6.667667823251897,6.692684869716693,True,False,32,2813,3366
52,0.07009171350800647,6.667667826392545,6.667667826392545,6.692684869716693,True,False,32,3013,3486
54,0.06833848190559844,6.433428340491858,6.667667826392545,6.692684869716693,False,False,32,2841,2816
55,0.06747838066655769,6.6676678264526075,6.6676678264526075,6.692684869716693,True,False,32,2727,2790
56,0.06662910457494152,6.671628538159954,6.671628538159954,6.692684869716693,True,False,32,2847,2813
57,0.0657905173865365,6.6676678264526075,6.6676678264526075,6.692684869716693,True,False,32,2813,2847
58,0.06496248457188517,6.647986299911896,6.647986299911896,6.692684869716693,True,False,32,2790,1
59,0.06414487329470422,6.665970952227493,6.665970952227493,6.692684869716693,True,False,32,1,3133
60,0.06333755239057441,6.665970974499839,6.665970974499839,6.692684869716693,True,False,32,2894,3367
61,0.06254039234589863,6.665753800905293,6.665753800905293,6.692684869716693,True,False,32,2679,3241
62,0.06175326527712489,6.665753802134994,6.665753802134994,6.692684869716693,True,False,32,2837,3427
64,0.06020860656046538,6.65462055453812,6.65462055453812,6.692684869716693,True,False,32,2789,2816
65,0.059450827112348455,6.6546201589974245,6.6546201589974245,6.692684869716693,True,False,32,2893,2873
69,0.056513889852085816,6.665169729208547,6.665169729208547,6.692684869716693,True,False,32,3427,2866
73,0.053722040572759394,6.665383633022916,6.665383633022916,6.692684869716693,True,False,32,3241,2789
74,0.053045900389776454,6.53362026190014,6.665383633022916,6.692684869716693,False,False,32,2844,2793
75,0.05237827003892517,6.676334119805041,6.676334119805041,6.692684869716693,True,False,32,2816,2813
77,0.05106811176606148,6.656537514024599,6.656537514024599,6.692684869716693,True,False,32,2813,1
78,0.0504253736633021,6.656537513471374,6.656537513471374,6.692684869716693,True,False,32,3486,3427
79,0.049790724997462406,6.524867359077248,6.656537513471374,6.692684869716693,False,False,32,2844,3486
80,0.0491640639557054,6.645950065343637,6.645950065343637,6.692684869716693,True,False,32,2866,3241
84,0.0467353042847158,6.627892557547604,6.645950065343637,6.692684869716693,False,False,32,2812,2827
87,0.044992802932849164,6.6653457925082265,6.6653457925082265,6.692684869716693,True,False,32,2873,2876
88,0.044426528054166366,6.668103772023663,6.668103772023663,6.692684869716693,True,False,32,2789,2827
89,0.04386738025397889,6.538919711170362,6.668103772023663,6.692684869716693,False,False,32,2844,3486
90,0.04331526983159581,6.647229470922408,6.647229470922408,6.692684869716693,True,False,32,2812,2873
91,0.04277010821529002,6.64737605744147,6.64737605744147,6.692684869716693,True,False,32,3241,2
92,0.04223180794808926,6.642223544474319,6.642223544474319,6.692684869716693,True,False,32,2788,3
94,0.04117544712288331,6.512637633654343,6.642223544474319,6.692684869716693,False,False,32,2844,3486
95,0.04065721709931664,6.646124680018982,6.646124680018982,6.692684869716693,True,False,32,3,3134
96,0.04014550946654574,6.6674217178167225,6.6674217178167225,6.692684869716693,True,False,32,3427,2812
98,0.0391413340459594,6.671746350745487,6.671746350745487,6.692684869716693,True,False,32,2847,3427
99,0.03864870516437052,6.236765602872442,6.671746350745487,6.692684869716693,False,False,32,2870,2837
101,0.03768196989860211,6.650451822680932,6.650451822680932,6.692684869716693,True,False,32,2812,3486
102,0.037207708426946144,6.651681756022505,6.651681756022505,6.692684869716693,True,False,32,3134,3241
104,0.03627701737942518,6.631972235311913,6.651681756022505,6.692684869716693,False,False,32,2876,3368
105,0.03582043849843909,6.662418223367435,6.662418223367435,6.692684869716693,True,False,32,3427,2866
106,0.03536960607318783,6.652203802502967,6.652203802502967,6.692684869716693,True,False,32,2827,3
109,0.03405086882859743,6.6522060897530615,6.6522060897530615,6.692684869716693,True,False,32,2873,434
