basis_family,class_mode,allocation,split_step,split_mode,geometry,outer_treatment,split_acceptance,contrast_min_lambda,target_regions,basis_training_sites,heldout_cv_nrmse,heldout_cv_rmse,heldout_cv_bias,heldout_cv_corr,n_score_rows,n_basis_splits,actual_regions,actual_regions_min,actual_regions_max,candidate
region_constrained,no_mask,single_class,axis_parallel,balanced,row_column,full_domain,none,,250,"TAC,MHD",0.15952503766522835,5.5768985326945345e-09,-2.4164286841072495e-09,0.9424893144650154,12,6,250.0,250,250,single_class/axis_parallel/balanced/row_column
quadtreebasisfunction,no_mask,legacy,quadtreebasisfunction,legacy,row_column,full_domain,none,,250,"TAC,MHD",0.18645686628956892,5.180663807220274e-09,9.7465110902962e-10,0.9610695291563177,12,6,250.5,250,253,quadtree
region_constrained,no_mask,single_class,axis_parallel,count,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",1.1794819112270771,2.7480942003100506e-08,-6.609076687091486e-09,0.43112191025550056,12,6,54.333333333333336,23,84,single_class/axis_parallel/count/row_column/contrast
region_constrained,no_mask,single_class,axis_parallel,count,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",1.184986783841173,2.7503235977107496e-08,-6.469765698415209e-09,0.4296554572024848,12,6,52.5,22,82,single_class/axis_parallel/count/lat_lon_metres/contrast
region_constrained,selected_countries,weight,inertial,balanced,row_column,full_domain,none,,250,"TAC,MHD",0.10849420712089868,3.7677976606193375e-09,-9.789855038425591e-10,0.964623516363223,12,6,250.0,250,250,weight/inertial/balanced/row_column
region_constrained,selected_countries,weight,inertial,balanced,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.10881763511304805,3.385338577804068e-09,-5.444793556306823e-10,0.9743737300439946,12,6,250.0,250,250,weight/inertial/balanced/lat_lon_metres
region_constrained,selected_countries,weight,inertial,count,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.11209483600521343,2.488914284479368e-09,-5.62655806674364e-11,0.9768000045461958,12,6,250.0,250,250,weight/inertial/count/lat_lon_metres
region_constrained,selected_countries,weight,inertial,count,row_column,full_domain,none,,250,"TAC,MHD",0.12766288432363382,2.7673656685558457e-09,-7.819759304209648e-12,0.9716383974931677,12,6,250.0,250,250,weight/inertial/count/row_column
region_constrained,selected_countries,weight,axis_parallel,count,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.1358832556941538,3.045524874581139e-09,2.529398513928436e-10,0.971486707228752,12,6,250.0,250,250,weight/axis_parallel/count/lat_lon_metres
region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",0.1444864752012817,4.408635209887021e-09,-2.474638196944539e-09,0.9566908370004951,12,6,245.66666666666666,240,250,weight/axis_parallel/balanced/row_column/contrast
region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",0.145672706800472,4.479842052019871e-09,-2.7104641807672164e-09,0.9547380067435993,12,6,240.5,225,250,weight/axis_parallel/balanced/lat_lon_metres/contrast
region_constrained,selected_countries,weight,axis_parallel,count,row_column,full_domain,none,,250,"TAC,MHD",0.14606790673717868,3.3280048730676445e-09,9.897552254878205e-11,0.9655274146652281,12,6,250.0,250,250,weight/axis_parallel/count/row_column
region_constrained,selected_countries,weight,axis_parallel,balanced,row_column,full_domain,none,,250,"TAC,MHD",0.14644966910789162,4.575584571468993e-09,-2.5163573113190437e-09,0.9521402493702782,12,6,250.0,250,250,weight/axis_parallel/balanced/row_column
region_constrained,selected_countries,weight,axis_parallel,balanced,lat_lon_metres,full_domain,none,,250,"TAC,MHD",0.1498050952313332,4.645112768922856e-09,-2.6751592064014815e-09,0.9469549098228781,12,6,250.0,250,250,weight/axis_parallel/balanced/lat_lon_metres
region_constrained,selected_countries,weight,axis_parallel,count,row_column,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",0.2014343697796753,5.0322571205143605e-09,-2.3107965506195286e-09,0.8802193142936307,12,6,236.16666666666666,221,241,weight/axis_parallel/count/row_column/contrast
region_constrained,selected_countries,weight,axis_parallel,count,lat_lon_metres,full_domain,contrast_lambda_1e-18,1e-18,250,"TAC,MHD",0.22069095169731445,6.67314140722193e-09,-2.916918415957983e-09,0.875924140680746,12,6,204.83333333333334,192,220,weight/axis_parallel/count/lat_lon_metres/contrast
