matrix,split_step,classes,geometry,target_regions,state_count,observation_count,singular_index,singular_value,singular_value_normalized,energy_fraction,cumulative_energy_fraction
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,134,9.041290522877022e-11,0.0014945100584421835,1.3169898135652031e-06,0.9999861132391775
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,135,8.525894459671405e-11,0.0014093159593704513,1.1711201981261906e-06,0.9999872843593757
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,136,8.334917298132448e-11,0.0013777477570070251,1.1192424064786076e-06,0.9999884036017822
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,137,8.260645650672038e-11,0.0013654707790793949,1.0993843558788527e-06,0.9999895029861381
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,138,8.106321712963735e-11,0.0013399612927311923,1.0586910400347227e-06,0.9999905616771781
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,139,7.898819622478135e-11,0.0013056615475129812,1.0051849080349065e-06,0.9999915668620861
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,140,7.766854525777121e-11,0.0012838479398334214,9.718783514082266e-07,0.9999925387404375
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,141,7.465878180318364e-11,0.001234097058086714,8.980145333748664e-07,0.9999934367549709
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,142,7.071302725121359e-11,0.001168874401529641,8.056017974727961e-07,0.9999942423567684
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,143,6.837534713240528e-11,0.001130232943851234,7.532179393785796e-07,0.9999949955747077
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,144,6.578793143617623e-11,0.001087463399242518,6.972909504660581e-07,0.9999956928656583
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,145,6.442241002041339e-11,0.0010648915607896776,6.68644846744172e-07,0.999996361510505
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,146,5.882041625755451e-11,0.0009722915497100774,5.574138479774171e-07,0.9999969189243529
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,147,5.6477577505199104e-11,0.000933564820690102,5.138941656994474e-07,0.9999974328185186
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,148,5.423623052031818e-11,0.0008965157334509754,4.7391511748827613e-07,0.9999979067336362
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,149,5.070413450313845e-11,0.0008381307826333687,4.1419830226519185e-07,0.9999983209319384
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,150,4.6266387239480705e-11,0.0007647755696183761,3.4486787704583334e-07,0.9999986657998154
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,151,3.8910848236051714e-11,0.0006431897517744167,2.439287348210458e-07,0.9999989097285503
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,152,3.408607215926879e-11,0.0005634370178230162,1.8718691411424955e-07,0.9999990969154644
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,153,3.386166594914798e-11,0.0005597276210576557,1.8473033111445125e-07,0.9999992816457955
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,154,3.169475911017322e-11,0.0005239090168621518,1.61843952969294e-07,0.9999994434897486
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,155,2.9968701839836515e-11,0.0004953775816047809,1.4469630083680438e-07,0.9999995881860494
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,156,2.384326808148635e-11,0.00039412519577543384,9.159106949427271e-08,0.9999996797771189
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,157,2.2947191721991566e-11,0.0003793132048432913,8.483609210862853e-08,0.999999764613211
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,158,2.0475607385960322e-11,0.00033845833306209524,6.754530290662404e-08,0.9999998321585138
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,159,1.9883205673802753e-11,0.00032866603277910276,6.369339179160645e-08,0.9999998958519056
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,160,1.7057405028292293e-11,0.0002819560252068216,4.68756702434437e-08,0.9999999427275759
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,161,1.0155459067784615e-11,0.0001678680237793353,1.661577821817234e-08,0.9999999593433541
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,162,9.299023257209814e-12,0.0001537112844280725,1.3931447236291966e-08,0.9999999732748014
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,163,8.436088059804731e-12,0.00013944711130983823,1.1465784516829629e-08,0.9999999847405859
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,164,6.496951162343595e-12,0.00010739350579169757,6.800498842207606e-09,0.9999999915410848
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,165,4.8625987361579725e-12,8.03779361250284e-05,3.8094162705037675e-09,0.999999995350501
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,166,4.197947755594304e-12,6.939136763358945e-05,2.839197640512812e-09,0.9999999981896986
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,167,2.8254009046411506e-12,4.67033999232023e-05,1.2861206946386765e-09,0.9999999994758193
unprojected-grid,unprojected-grid,all-cells,grid-cells,114563,114563,168,168,1.8037634891246924e-12,2.981590593429809e-05,5.24180366883604e-10,0.9999999999999998
basis-projected,axis-parallel,all-cells,row-column,50,50,168,1,9.703105019011412e-08,1.0,0.4943500414149216,0.4943500414149216
basis-projected,axis-parallel,all-cells,row-column,50,50,168,2,5.659613372224171e-08,0.5832785856831624,0.16818475976508898,0.6625348011800106
basis-projected,axis-parallel,all-cells,row-column,50,50,168,3,4.641104843380666e-08,0.47831130697722973,0.11309824602504948,0.7756330472050601
basis-projected,axis-parallel,all-cells,row-column,50,50,168,4,3.700413733958279e-08,0.38136387545100386,0.07189748178175516,0.8475305289868152
basis-projected,axis-parallel,all-cells,row-column,50,50,168,5,2.8697093646655672e-08,0.2957516546551759,0.043240324155204006,0.8907708531420193
basis-projected,axis-parallel,all-cells,row-column,50,50,168,6,1.7925759740237674e-08,0.18474250979573562,0.016872065534966726,0.9076429186769861
