split_step,classes,geometry,target_regions,actual_regions,min_equal_weight_ratio,p10_equal_weight_ratio,median_equal_weight_ratio,p90_equal_weight_ratio,max_equal_weight_ratio,weight_cv,weight_gini,area_cv,density_cv,zero_weight_regions
axis-parallel,all-cells,lat-lon-metres,50,50,0.0007789432879975098,0.03912087251156209,0.8557604214031698,2.1080934599581997,2.2817946587108113,0.7711573995148491,0.43947731919572575,2.846977047608307,1.7864362711047215,0
axis-parallel,all-cells,lat-lon-metres,100,100,2.6059412781240635e-05,0.08208656860653679,0.9665293894903972,1.6762362256939654,4.381800278924166,0.7128286356177995,0.38009256626911836,3.170719360631738,1.7182191000500442,0
axis-parallel,all-cells,lat-lon-metres,250,250,2.5235963734915905e-06,0.0917954099606506,0.7939569100093065,1.761750907773037,10.954500697310415,1.2242330322133077,0.4840615236800876,4.640727879195351,2.0519911504998998,0
axis-parallel,all-cells,lat-lon-metres,500,500,1.2442112737892324e-07,0.0633385396795674,0.567250522008488,1.7263845172649037,21.90900139462083,1.8940340520278731,0.5894646181309036,5.579906364161362,2.5457500609604624,0
axis-parallel,all-cells,row-column,50,50,0.0007789432879975098,0.03912087251156209,0.8557604214031698,2.1080934599581997,2.2817946587108113,0.7711732888944537,0.4394963012074069,2.8598125259239713,1.7864401544713557,0
axis-parallel,all-cells,row-column,100,100,2.6059412781240635e-05,0.08208656860653679,0.9665293894903972,1.6762362256939654,4.381800278924166,0.7128630142687324,0.38011408913153777,3.1937376240904953,1.718221179848108,0
axis-parallel,all-cells,row-column,250,250,2.5235963734915905e-06,0.07635690036566334,0.7939569100093065,1.761750907773037,10.954500697310415,1.2248632210308927,0.48509277437791254,4.590408510667115,2.0520094794811254,0
axis-parallel,all-cells,row-column,500,500,1.2442112737892324e-07,0.06106619336181868,0.5682371474660501,1.7263845172649037,21.90900139462083,1.8941483748465222,0.5898136058161947,5.562878437812948,2.546824777218894,0
axis-parallel,ocean-land,lat-lon-metres,50,50,1.8365427676678077e-06,0.0004355859985688341,0.1477697532128365,3.7459547178466877,6.194565138270325,1.6968765978546707,0.7564864773756095,2.522009561218828,2.9082536790670144,0
axis-parallel,ocean-land,lat-lon-metres,100,100,1.4707590327726607e-06,8.763724305483663e-05,0.10876172121377649,4.002687353102134,6.168004225059502,1.6608263872602886,0.7497856014551985,3.6392167918783787,2.6904599144820884,0
axis-parallel,ocean-land,lat-lon-metres,250,250,6.63427632657782e-07,0.0006009204184158212,0.08700308118047062,3.2307913220508335,10.954500697310415,1.5478831173397993,0.712807457772483,3.842087960083552,2.553548853161957,0
axis-parallel,ocean-land,lat-lon-metres,500,500,4.1939455837392536e-07,0.0004964586360898673,0.05614901109450411,2.2462577015431,21.90900139462083,1.9970394456960967,0.7384085590075047,4.169411495144172,2.958373849373386,0
axis-parallel,ocean-land,row-column,50,50,1.448217626082701e-06,0.0011663729751597391,0.09378982644359433,3.525852806097747,6.809341869887847,1.8525707798858577,0.7753812536004085,2.6134066195537335,2.627896666468811,0
